date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:03	1440/1440	---M--	200	added ('OK')	image/gif	etag:%226324b01635dd23f1fa28534c2db8b428:1562037566.85273%22	http://img.echosting.cafe24.com/thumb/75x75.gif	C:/My%20Web%20Sites/sample_md/img.echosting.cafe24.com/thumb/75x75.gif	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:03	1112/1112	---M--	200	added ('OK')	image/gif	etag:%228b606e59be1f866c91842e4ee69e807f:1593489704.666802%22	http://img.echosting.cafe24.com/skin/base/common/btn_icon_recommend.gif	C:/My%20Web%20Sites/sample_md/img.echosting.cafe24.com/skin/base/common/btn_icon_recommend.gif	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:04	34590/34590	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:35:00%20GMT	http://mydahlia.co.kr/product/%eb%b0%a4-%eb%b8%94%eb%9e%99%ed%97%a4%eb%93%9c-%ec%8a%a4%ed%8b%b1-20g/123/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%b0%a4-%eb%b8%94%eb%9e%99%ed%97%a4%eb%93%9c-%ec%8a%a4%ed%8b%b1-20g/123/index.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:05	234/234	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:35:04%20GMT	http://mydahlia.co.kr/board/product/reply.html	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/board/product/reply.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:06	110201/110201	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:35:02%20GMT	http://mydahlia.co.kr/board/product/modify.html?board_act=edit&no=21062&board_no=4	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/board/product/modify3e1d.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:06	1082/1082	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202017%2009:44:50%20GMT	http://mydahlia.co.kr/web/upload/icon_201703041844504500.png	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/upload/icon_201703041844504500.png	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:06	1140/1140	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202017%2009:44:47%20GMT	http://mydahlia.co.kr/web/upload/icon_201703041844472900.png	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/upload/icon_201703041844472900.png	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:07	957/957	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:35:05%20GMT	http://mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/$3/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/$3/index.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:09	26098/26098	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:35:04%20GMT	http://mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/21061/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/21061/index.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
16:35:11	25895/25895	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:35:06%20GMT	http://mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/21062/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/article/%ec%83%81%ed%92%88-%ec%82%ac%ec%9a%a9%ed%9b%84%ea%b8%b0/4/21062/index.html	(from http://mydahlia.co.kr/board/review/read.html?no=21062&board_no=4)
